Job_Title,Company,Location,Min_Experience_Years,Complexity_Score,Is_Remote,AI_Engine_Used,Skills_Market_Data,Processed_Date
"32,000+ Associate Software Engineer jobs in India (1,839 new)",ITC & Nike,"Karnataka, India",2,1,False,Groq,"[{""skill"": ""Software Engineer"", ""github_repos"": 68378}]",2026-04-30
70408 Associate Software Engineer Jobs Vacancies - Naukri.com,Naukri.com,India,0,0,False,Groq,[],2026-04-30
associate software engineer jobs - Indeed,Indeed.com,Unknown,0,0,False,Groq,[],2026-04-30
"2,347 Associate software engineer jobs in India - Glassdoor",Est.,Unknown,0,0,False,Groq,[],2026-04-30
Software Engineering Careers & Job Opportunities - Accenture,Accenture,Unknown,0,0,False,Groq,[],2026-04-30
Associate Software Engineer Jobs In India - Naukri.com,Naukri.com,India,0,0,False,Groq,"[{""skill"": ""Software Engineer"", ""github_repos"": 68378}]",2026-04-30
"41,000 Associate Software Engineer Job Vacancies in Bengaluru ...",Indeed.com,"Bengaluru, Karnataka",0,0,False,Groq,[],2026-04-30
associate software engineer jobs in india - SimplyHired,Unknown,India,0,0,False,Groq,[],2026-04-30
"4,000+ Associate Software Engineer jobs in Hyderabad, Telangana ...",Microsoft,"Hyderabad, Telangana, India",0,0,False,Groq,[],2026-04-30
"2,557 associate software engineer jobs in India, April 2026 | Glassdoor",Unknown,India,0,0,False,Groq,[],2026-04-30
110 Entry Level Data Engineer jobs in India - LinkedIn,Unknown,India,0,0,False,Groq,[],2026-04-30
Data Engineer Jobs - Naukri.com,Naukri.com,Desired Locations,0,0,False,Groq,[],2026-04-30
Junior Data Engineer jobs - Indeed,Unknown,Unknown,3,0,False,Groq,[],2026-04-30
535 Entry level data engineer jobs in India | Glassdoor,Unknown,Unknown,0,0,False,Groq,[],2026-04-30
Data Engineer Jobs in India - 2026 - Wellfound,Unknown,India,0,0,False,Groq,[],2026-04-30
data engineer fresher jobs in india - SimplyHired,Unknown,India,0,5,False,Groq,[],2026-04-30
Junior Data Engineer Jobs In Bengaluru - Naukri.com,Quarks Technosoft,Bengaluru,1,0,False,Groq,[],2026-04-30
"10,000+ Junior Data Engineer jobs in India (639 new) - LinkedIn",PwC India,"Kolkata, West Bengal, India, Pune City, Maharashtra, India",0,0,False,Groq,[],2026-04-30
600 Data Engineer Fresher Job Vacancies - Indeed,CENTRAL GOVERMENT JOBS,Unknown,0,0,False,Groq,[],2026-04-30
"557 entry level data engineer jobs in India, April 2026 | Glassdoor",Unknown,India,0,0,False,Groq,[],2026-04-30
932 Graduate Data Analyst jobs in India - LinkedIn,Unknown,Unknown,0,0,False,Failed,[],2026-04-30
"790 graduate data analyst jobs in India, April 2026 - Glassdoor",Unknown,India,0,0,True,Groq,[],2026-04-30
700 Graduate Data Analyst Job Vacancies - Indeed,Optimspace,"Saket, Delhi",0,0,True,Groq,[],2026-04-30
31830 Data Analyst Jobs Vacancies - Naukri.com,Naukri.com,India,0,0,False,Groq,[],2026-04-30
graduate data analyst jobs in india - SimplyHired,Unknown,India,0,0,False,Groq,[],2026-04-30
Data Analyst Jobs in India - 2026 - Wellfound,Unknown,Asia,1,0,True,Groq,[],2026-04-30
149 Graduate Data Analyst jobs in Greater Delhi Area - LinkedIn,Unknown,Greater Delhi Area,0,0,False,Groq,[],2026-04-30
"1,300 Graduate data analyst jobs in India - Glassdoor","KPMG, Barclays, S&P Global, JPMorganChase, Zycus, Star Air, Q-Dat IT Solutions, Intelegain",India,0,0,False,Groq,[],2026-04-30
25736 Data Analyst Jobs in India - foundit,foundit.in,India,0,0,False,Groq,[],2026-04-30
Data Analyst Jobs in India - NextLeap,Unknown,India,0,0,False,Groq,[],2026-04-30
300 New Graduate Data Engineer Job Vacancies - Indeed,Unknown,Unknown,0,0,False,Groq,"[{""skill"": ""Data Engineer"", ""github_repos"": 70121}, {""skill"": ""Software Engineer Trainee"", ""github_repos"": 65}, {""skill"": ""AI ML Internship"", ""github_repos"": 3359}, {""skill"": ""Web Development"", ""github_repos"": 362002}, {""skill"": ""HTML"", ""github_repos"": 4095118}, {""skill"": ""CSS"", ""github_repos"": 3239817}, {""skill"": ""AI"", ""github_repos"": 4575483}, {""skill"": ""Data"", ""github_repos"": 7091595}]",2026-04-30
"1,262 graduate data engineer jobs in India, April 2026 | Glassdoor",SPML Infra,India,0,0,False,Groq,[],2026-04-30
Data Engineer Jobs - Naukri.com,Naukri,Your Desired Locations,0,0,False,Groq,[],2026-04-30
Join Volvo Group Bangalore as a Data Engineer | Explore Job ...,Volvo Group India,Unknown,0,0,False,Groq,[],2026-04-30
50+ Data engineering Jobs in India - Cutshort,Unknown,India,0,0,False,Groq,"[{""skill"": ""Python"", ""github_repos"": 6272628}, {""skill"": ""Azure"", ""github_repos"": 429501}]",2026-04-30
Data Engineer - Job search | Amazon.jobs,Unknown,Unknown,1,0,False,Groq,[],2026-04-30
"Data Engineer job in Bangalore, Karnātaka, India - NTT DATA Careers",NTT DATA,Unknown,0,0,False,Groq,[],2026-04-30
"40 Graduate Data Engineer Jobs for freshers in Bangalore, Apr",Unknown,various locations in India,0,0,False,Groq,[],2026-04-30
41453 Graduate Engineer Trainee Jobs Vacancies - Naukri.com,"Endurance Technologies, Valeo","Aurangabad(Shendra MIDC), Chennai",0,0,False,Groq,[],2026-04-30
Graduate Engineer Trainee jobs in India - LinkedIn,Unknown,India,0,0,False,Groq,[],2026-04-30
100 Graduate Engineer Trainee Job Vacancies | Indeed,Hybon Elevators & Esclators Pvt. Ltd.,"Noida, Uttar Pradesh",0,0,False,Groq,[],2026-04-30
196 Graduate Engineer Trainee (Get) Jobs - AmbitionBox,Unknown,Unknown,0,0,False,Groq,[],2026-04-30
Graduate engineer trainee jobs in All India - Shine,Shine.com,India,0,0,False,Groq,[],2026-04-30
313 Graduate engineer trainee jobs in India - Glassdoor,Unknown,Unknown,0,0,False,Groq,[],2026-04-30
25 Graduate Engineer Trainee Job Vacancies in Maharashtra | Indeed,Unknown,Unknown,0,0,False,Groq,[],2026-04-30
Post Graduate Engineer Trainee Jobs - Naukri.com,Naukri.com,Multiple (desired locations),0,0,False,Groq,[],2026-04-30
Graduate Engineering Trainee jobs in India - LinkedIn,Unknown,"India, specifically: Pune",122,0,False,Groq,[],2026-04-30
"Graduate Engineer Trainee in Bengaluru, Karnātaka, India, 560067",GE HealthCare,"Bengaluru, Karnātaka, India, 560067",0,0,False,Groq,[],2026-04-30
Graduate Software Engineer jobs in India - LinkedIn,"ITC, Nike","Karnataka, India",2,0,False,Groq,[],2026-04-30
Graduate Software Engineer Jobs - Naukri.com,Naukri.com,Unknown,0,0,False,Groq,"[{""skill"": ""Software Engineer"", ""github_repos"": 68378}]",2026-04-30
graduate software engineer jobs - Indeed,AutoRABIT Holding Inc.,"Hyderabad, Telangana",0,0,False,Groq,[],2026-04-30
42 graduate software engineer Jobs in India | April 2026 - Adzuna,Unknown,India,0,0,False,Groq,[],2026-04-30
Graduate Software Engineer jobs in Mumbai Metropolitan Region,SCG India,Mumbai Metropolitan Region,0,0,False,Groq,[],2026-04-30
"1,337 graduate software engineer jobs in India, April 2026 | Glassdoor",ASP OL Media,"Pune, India",0,0,False,Groq,[],2026-04-30
Graduate Software Engineer Jobs In India - Naukri.com,Naukri.com,Unknown,0,0,False,Groq,[],2026-04-30
new graduate in software engineering jobs in india - SimplyHired,Unknown,Unknown,0,5,True,Groq,"[{""skill"": ""Java"", ""github_repos"": 5122491}]",2026-04-30
graduate software developer jobs - Indeed,Unknown,Unknown,0,0,False,Groq,[],2026-04-30
"1,421 Graduate software engineer jobs in India - Glassdoor",Unknown,Unknown,0,0,False,Groq,[],2026-04-30
42 graduate software engineer Jobs in India | April 2026 - Adzuna,Adzuna,India,2,0,False,Groq,[],2026-04-30
"1,337 graduate software engineer jobs in India, April 2026 | Glassdoor",Unknown,"Pune, India",0,0,False,Groq,[],2026-04-30
75 New Graduate Software Engineer Job Vacancies in Bengaluru ...,Indeed,"Bengaluru, Karnataka",0,0,False,Groq,[],2026-04-30
Jobs in Software Engineering | IBM Careers,IBM,Unknown,0,8,True,Groq,"[{""skill"": ""agile coding"", ""github_repos"": 1319}, {""skill"": ""open source"", ""github_repos"": 303130}, {""skill"": ""cloud computing"", ""github_repos"": 50640}, {""skill"": ""software engineering"", ""github_repos"": 114022}]",2026-04-30
Junior Business Analyst Jobs - Naukri.com,Naukri.com,Unknown,0,0,False,Groq,[],2026-04-30
"1,000+ Junior Business Analyst jobs in India - LinkedIn",Unknown,India,0,0,False,Groq,[],2026-04-30
500 Junior Business Analyst Job Vacancies - Indeed,Tentacle solutions,"Kanpur, Uttar Pradesh",0,0,False,Groq,[],2026-04-30
"2,244 Junior business analyst jobs in India - Glassdoor",Unknown,India,2,0,False,Groq,[],2026-04-30
Junior Business Analyst Jobs In Bangalore - Bengaluru - Naukri.com,Appzoc,Bangalore,0,0,False,Groq,[],2026-04-30
Junior business analyst jobs in All India - Shine,Shine.com,India,0,0,False,Groq,[],2026-04-30
"500 Junior Business Analyst Job Vacancies in Delhi, Delhi | Indeed",Unknown,"Delhi, Delhi",0,0,False,Groq,[],2026-04-30
73 Entry Level Business Analyst jobs in India - Bengaluru - LinkedIn,Deloitte,India,0,0,False,Groq,[],2026-04-30
junior business analyst jobs in india - SimplyHired,Unknown,Unknown,0,0,False,Groq,[],2026-04-30
7257 Junior Business Analyst Job Vacancies In Mumbai - Naukri.com,Cloud Counselage,Mumbai,0,0,False,Groq,[],2026-04-30
Junior Data Analyst jobs in India - LinkedIn,Unknown,India,0,0,False,Groq,[],2026-04-30
Junior Data Analyst Jobs - Naukri.com,Unknown,Your Desired Locations,0,0,False,Groq,[],2026-04-30
Junior Data Analyst jobs - Indeed,Tentacle solutions,"Kanpur, Uttar Pradesh",0,0,True,Groq,"[{""skill"": ""data analyis"", ""github_repos"": 899}, {""skill"": ""juniorengineering"", ""github_repos"": 0}, {""skill"": ""analyst"", ""github_repos"": 103350}]",2026-04-30
"1,443 Junior data analyst jobs in India | Glassdoor",Unknown,Unknown,0,0,False,Groq,[],2026-04-30
5208 Junior Data Analyst Job Vacancies In Mumbai - Naukri.com,Unknown,Mumbai,0,0,False,Groq,[],2026-04-30
"Analytics Jobs: Find 373 Data Analyst Jobs in India, 2026 - Internshala",Internshala,Unknown,0,0,False,Groq,[],2026-04-30
"Junior Data Analyst jobs in Mumbai, Maharashtra - Indeed","Codemines Solutions Pvt Ltd, Vidhisha Paper Mills Pvt","mumbai, maharashtra",0,0,False,Groq,[],2026-04-30
junior-data-analyst-permanent-jobs - Shine,Unknown,Unknown,0,0,False,Groq,[],2026-04-30
Entry Level Data Analyst jobs in India - LinkedIn,Unknown,India,0,0,False,Groq,[],2026-04-30
300 Trainee Data Engineer Job Vacancies | Indeed,Birbal AI,Unknown,0,0,False,Groq,"[{""skill"": ""Junior Data Engineer"", ""github_repos"": 259}, {""skill"": ""Trainee Engineer"", ""github_repos"": 206}, {""skill"": ""BJMLE"", ""github_repos"": 0}, {""skill"": ""Software Engineer"", ""github_repos"": 68378}, {""skill"": ""Machine Learning Engineer"", ""github_repos"": 7659}]",2026-04-30
185 Data engineer trainee jobs in India | Glassdoor,Glassdoor Est.,Unknown,0,0,False,Groq,"[{""skill"": ""PLC"", ""github_repos"": 18932}, {""skill"": ""SCADA"", ""github_repos"": 6055}, {""skill"": ""Drives"", ""github_repos"": 86142}, {""skill"": ""Process Instrumentation"", ""github_repos"": 235}, {""skill"": ""Panel"", ""github_repos"": 194526}]",2026-04-30
"200 Trainee Data Engineer Job Vacancies in Mumbai, Maharashtra",Unknown,"Mumbai, Maharashtra",0,0,False,Groq,[],2026-04-30
"29 Junior Data Engineer Jobs in India (Updated Apr, 2026)",Unknown,Unknown,0,0,False,Groq,[],2026-04-30
data-engineer-trainee-permanent-jobs - Shine,Shine.com,Unknown,0,0,False,Groq,[],2026-04-30
Trainee Data Engineer Jobs in New Delhi | Careerjet,Milliman,New Delhi,0,0,False,Groq,"[{""skill"": ""Python"", ""github_repos"": 6272628}]",2026-04-30
